Epoch,Training_Loss,Validation_Loss,Mean_IoU,Pixel_Accuracy,Class_Accuracy
1,1.9045115975772633,1.436224037806193,0.18098612266539027,0.7623712931902111,0.23477486186404034
2,1.3893312848916575,1.2202051162719727,0.20087237242002418,0.7804840343336059,0.2744245090413234
3,1.1607215735090881,1.0685283708572388,0.22511900784866606,0.8126226393379257,0.2989323615358635
4,1.004866852179295,0.8998342037200928,0.243585182609544,0.8320410826801604,0.30193650513765924
5,0.8848781343267745,0.8685072072347005,0.24527193124080598,0.8233565490938438,0.3230237737161998
6,0.8042567078806773,0.7736743386586508,0.26734671324854425,0.8355057785866836,0.3382265536175041
7,0.7447680185822879,0.7435057171185812,0.26873383376765336,0.842445010313518,0.35017067961794934
8,0.6837225270872357,0.6755848209063212,0.27939444188734014,0.8548223981295454,0.34066117880893215
9,0.6527496502179058,0.6589735412597656,0.277024851562854,0.8471231997388543,0.3412468438765984
10,0.6279700998498612,0.6605750012397766,0.281555247954036,0.8435248393475497,0.3416513030220355
11,0.5931432844210072,0.5957851759592692,0.289367484068427,0.8576644017030748,0.3550614474904411
12,0.5610670722332322,0.5723127698898316,0.3004018005991853,0.8648575803112976,0.36474313046223145
13,0.5409177155554795,0.5488238263130188,0.3058296402823034,0.8679116587886465,0.36811216184299794
14,0.5087828687760009,0.535695964495341,0.31583798200527974,0.8695344813108238,0.3917893121723288
15,0.4992805884665802,0.6302509284019471,0.28000179451719037,0.8386189634131896,0.34904629223416267
16,0.503351817311359,0.5047220794359842,0.3257592205364396,0.8761121156622572,0.4067700672096423
17,0.4755839687435567,0.5013827657699585,0.3197574248161652,0.8726162145258796,0.39955468863524346
18,0.450935258584864,0.49468344608942666,0.3282714281772899,0.8774827774344579,0.3920268089608738
19,0.45034775152927686,0.48786832809448244,0.3275928601972488,0.8770588097432367,0.4021092178903583
20,0.42750242187195464,0.522445129553477,0.3139992310231042,0.8660478299604528,0.3724832878015631
21,0.4229088272367205,0.45875300963719684,0.3453648865049347,0.8852170576827152,0.4087111358077654
22,0.405345653586027,0.4619173097610474,0.3440823104024597,0.8788152896969015,0.4215648439480595
23,0.3898677460285796,0.44104140281677245,0.3462729342956097,0.8886159358353991,0.419377276268841
24,0.40349299567086355,0.5041217350959778,0.3339957894097201,0.869416438275477,0.39282649724996777
25,0.3823069812870827,0.4248086067040761,0.36002461593172064,0.8877746588546668,0.44570502295537173
26,0.3629887609922585,0.4450721542040507,0.3561400549656599,0.8832753983503732,0.4383472449971058
27,0.34645709946375935,0.43273107210795086,0.3502344040394208,0.8875856439018038,0.4472961971072705
28,0.3495095116751535,0.43763845682144165,0.3489708560403015,0.883560548070273,0.4529449537952615
29,0.3490441594805036,0.39574323773384096,0.37082757499966273,0.8935741570017462,0.4655189679794529
30,0.3301893813269479,0.4178888956705729,0.3635410294974384,0.8878716020865288,0.4628095147120255
31,0.3237018062287018,0.3915226682027181,0.3763160243363924,0.8948714171518991,0.4725077438507073
32,0.3163619058973649,0.41873231848080955,0.36238917234315626,0.8846050884823947,0.4877275022726268
33,0.3146007745706735,0.4212750395139058,0.3718302861344956,0.8875119742949795,0.456627683590137
34,0.29958220810449426,0.40904049078623456,0.3772287160277624,0.8891790601361635,0.4749979571233921
35,0.2839414687216783,0.40108114361763003,0.38047091530004595,0.8926490906564141,0.4831984653426603
36,0.27700180065732044,0.3985309171676636,0.3841275192760047,0.8922588946985385,0.49114913102831415
37,0.27755826481250157,0.390378102461497,0.38245885148640896,0.8911717996984875,0.4866658624103716
38,0.2653410132692642,0.3895952010154724,0.3903192575483909,0.8938583866699144,0.4990723203476044
39,0.26632841209403607,0.3925588091214498,0.37907163075672873,0.8925747543109326,0.4805113304220295
40,0.288150293436371,0.4037310481071472,0.3728044159147243,0.8870447155058834,0.488565045871676
41,0.27615617941908477,0.37622546990712485,0.39362367287216543,0.8985603523552986,0.5003446810562615
42,0.25272035145459054,0.38087317228317263,0.3910918538125587,0.8966384368987286,0.4995749255542828
43,0.25287101569295933,0.37454732020696,0.39240835996651885,0.8984102345228813,0.4890074758928316
44,0.25035550569285864,0.40781747778256733,0.3802544460735252,0.8886865141449675,0.49496787116094565
45,0.24492055871406523,0.3609823985894521,0.4039224531162611,0.9003556294423439,0.5166112467998819
46,0.22448540968554362,0.37225069125493365,0.38974094236359175,0.8972208186847103,0.5084201806713466
47,0.22018884851151155,0.3642912256717682,0.4037849507260291,0.9002657259727607,0.5210176175648217
48,0.21865571764837793,0.3674022070566813,0.40789534269138683,0.8993702825383698,0.5257826050894426
49,0.21241868771925693,0.3822797139485677,0.39579485809265763,0.9004916621983959,0.5004708179589055
50,0.2232294285998625,0.39065893093744913,0.3917639858779862,0.8976095385195382,0.4925884858624347
